emp_no,first_name,last_name,title,from_date,to_date
32649,Ingmar,Nannarelli,Senior Staff,1988-06-10,9999-01-01
32714,Radoslaw,Maliniak,Staff,1997-11-17,9999-01-01
33722,Anwar,Collette,Senior Engineer,1994-03-22,9999-01-01
34077,Angel,Sichman,Senior Staff,1997-11-16,9999-01-01
34446,Chinhyun,Bauknecht,Senior Engineer,1986-12-19,9999-01-01
34452,Naftaly,Foong,Senior Engineer,2000-05-09,2000-05-09
34533,Erzsebet,Shigei,Senior Engineer,1991-01-21,9999-01-01
35044,Jiang,Waschkowski,Senior Engineer,1997-05-27,1997-05-27
35441,Chandrasekaran,Peek,Senior Engineer,1993-02-06,1993-02-06
35642,Ashish,Talmon,Senior Engineer,2002-06-13,2002-06-13
35798,Ulf,Oberman,Senior Engineer,1997-03-15,9999-01-01
36521,Serif,Gladwell,Senior Staff,1993-03-05,9999-01-01
36626,Fen,Genin,Senior Staff,1986-05-09,9999-01-01
36982,Kotesh,Rajala,Senior Engineer,2000-06-23,2000-06-23
37070,Jeong,Undy,Senior Staff,1993-02-13,9999-01-01
37945,Suzette,Butterworth,Senior Engineer,1994-02-19,9999-01-01
38043,Michaela,Randi,Senior Engineer,1994-11-23,1994-11-23
38103,Masasuke,Babu,Senior Engineer,1993-03-31,1993-03-31
38168,Fumiko,Deverell,Senior Staff,1996-08-14,9999-01-01
38550,JoAnne,Baez,Senior Engineer,1987-02-16,9999-01-01
38593,Huei,Orsini,Senior Engineer,1995-06-04,1995-06-04
39341,Mahmut,Lampe,Senior Engineer,1994-05-11,1994-05-11
39952,Otmar,Sudbeck,Staff,1998-07-22,9999-01-01
40269,Toshiki,Ghazalie,Senior Staff,2000-12-04,9999-01-01
40283,Sudhanshu,Boissier,Senior Engineer,1993-05-11,1993-05-11
40301,Spyrose,Felder,Senior Engineer,1996-06-16,9999-01-01
40536,Harngdar,Bernardinello,Senior Engineer,1996-02-29,1996-02-29
40773,Shimshon,Aingworth,Senior Staff,1991-04-13,9999-01-01
40983,Marla,Cherinka,Technique Leader,1986-12-01,9999-01-01
41114,Petter,Thummel,Technique Leader,1995-12-24,9999-01-01
41137,Bikash,Buchter,Senior Staff,1992-11-22,9999-01-01
41520,Xiong,Uhrik,Senior Engineer,1988-03-21,9999-01-01
41609,Yucai,Simmen,Senior Staff,1987-10-13,9999-01-01
42778,Shuji,Remmers,Senior Staff,1996-12-17,9999-01-01
43733,Huei,Boguraev,Senior Staff,1998-12-31,9999-01-01
44540,Mingzeng,Sadowski,Senior Engineer,1989-11-12,9999-01-01
44959,Volkmar,Uhrik,Senior Engineer,1995-01-16,1995-01-16
45162,Dulce,Speel,Senior Engineer,1996-10-18,1996-10-18
46328,Wuxu,Trogemann,Senior Staff,1997-01-27,9999-01-01
46811,Junsik,Berendt,Senior Engineer,1988-04-27,9999-01-01
47262,Gonzalo,Binkley,Senior Engineer,1990-08-16,1990-08-16
47515,Naraig,Jenevein,Senior Engineer,1987-01-18,9999-01-01
48275,Sariel,Massonet,Senior Staff,1993-11-19,9999-01-01
50670,Boguslaw,Snedden,Senior Staff,1993-02-20,9999-01-01
51036,Chriss,Fasbender,Staff,1995-05-23,9999-01-01
51142,Rosine,Lakshmanan,Senior Engineer,1991-01-31,1991-01-31
52038,Chikako,Armand,Senior Engineer,1985-05-18,9999-01-01
52386,Adas,Denti,Senior Staff,1995-05-30,9999-01-01
52599,Augustine,Mungall,Senior Engineer,1996-08-30,1996-08-30
52770,Shugo,Yurek,Senior Staff,1998-08-28,9999-01-01
52778,Alain,Penn,Technique Leader,1986-05-03,9999-01-01
52956,Khalil,Picci,Senior Engineer,1992-03-20,1992-03-20
52970,Lobel,Werthner,Senior Engineer,1997-03-17,1997-03-17
53278,Premsyl,Lortz,Senior Staff,1999-02-01,9999-01-01
53431,Sham,Vasanthakumar,Senior Staff,1985-10-24,9999-01-01
53597,Jiafu,Marchegay,Senior Engineer,1992-03-02,1992-03-02
53874,Bodo,Schade,Senior Staff,1995-02-14,9999-01-01
53924,Arnould,Gaughan,Senior Engineer,1998-01-23,1998-01-23
54198,Shaowen,Segond,Senior Engineer,1993-01-06,1993-01-06
55799,Jianwen,Litzler,Senior Engineer,1993-06-16,1993-06-16
55857,Adin,Scallan,Senior Staff,1996-09-14,9999-01-01
56209,Remzi,Douceur,Senior Engineer,1998-12-01,1998-12-01
56415,Sigeru,Nivat,Senior Staff,1999-10-24,9999-01-01
56428,Olivera,Hanabata,Senior Staff,1992-11-09,9999-01-01
56682,Roded,Picco,Assistant Engineer,1993-11-06,9999-01-01
56847,Menkae,Chinin,Senior Engineer,1989-08-19,9999-01-01
58147,Shigenori,Sullins,Senior Staff,1988-02-24,9999-01-01
58819,Gennady,Liesche,Senior Staff,1987-12-02,9999-01-01
59869,Zsolt,Riefers,Senior Staff,1994-09-25,9999-01-01
60091,Surveyors,Bade,Senior Staff,1996-04-10,9999-01-01
60559,Jeanna,Stemann,Senior Engineer,1996-08-29,1996-08-29
61253,Cheong,Uhrik,Senior Engineer,2001-06-04,2001-06-04
61377,Dannz,Ohori,Senior Staff,1994-01-17,9999-01-01
62033,Heeju,Cappelli,Senior Engineer,1994-01-15,1994-01-15
62245,Adel,Bressoud,Engineer,1995-08-30,9999-01-01
63294,Tetsushi,Tanemo,Senior Engineer,2002-03-01,2002-03-01
63419,Hiroyasu,Seuren,Senior Engineer,1989-03-05,9999-01-01
63631,Falguni,Cherinka,Senior Engineer,1986-09-08,9999-01-01
63706,Sedat,Itzigehl,Engineer,1997-07-31,9999-01-01
64209,Golgen,Schoegge,Senior Staff,1988-02-26,9999-01-01
64487,Tsutomu,Rebaine,Senior Engineer,1994-09-17,1994-09-17
64790,Shin,Piveteau,Senior Engineer,1993-04-19,1993-04-19
64828,Krister,Pappas,Staff,1999-09-30,9999-01-01
64984,Eldridge,Eldridge,Senior Engineer,1991-06-24,1991-06-24
65998,Mandell,Alameldin,Senior Staff,1996-04-08,9999-01-01
66382,Domenico,Candan,Engineer,1997-07-13,9999-01-01
66530,Dung,Leaver,Staff,1998-04-04,9999-01-01
66702,Deniz,Thibadeau,Senior Engineer,2000-09-26,2000-09-26
66807,Aiman,Rosaz,Senior Engineer,1999-05-22,1999-05-22
67320,Sadok,Lorys,Senior Staff,1987-05-10,9999-01-01
67934,Aiman,Gargeya,Senior Engineer,1993-03-07,1993-03-07
68608,Yucai,Seghrouchni,Senior Engineer,1994-06-09,1994-06-09
68633,Chinhyun,Rassart,Senior Engineer,1993-07-29,9999-01-01
69052,Shietung,Shrader,Senior Staff,1995-08-05,9999-01-01
69219,Shuky,Redmiles,Senior Staff,1994-07-06,9999-01-01
69936,Lalit,Unni,Assistant Engineer,1998-12-06,9999-01-01
70990,Arumugam,Nitta,Senior Engineer,1990-03-23,9999-01-01
71188,Pranjal,Schapiro,Senior Staff,1993-12-14,9999-01-01
71243,Kinh,Buchter,Senior Engineer,1993-03-29,1993-03-29
71334,Cathie,Peck,Senior Engineer,1998-04-12,1998-04-12
71685,Kristinn,Olano,Senior Engineer,1989-10-03,9999-01-01
72190,Sajjad,Waeselynck,Engineer,1999-09-13,9999-01-01
72918,Takahira,Szilard,Senior Staff,1993-01-15,9999-01-01
73233,Shigeo,Merey,Senior Engineer,1985-07-30,9999-01-01
74668,Masako,Bonifati,Senior Staff,1987-04-09,9999-01-01
75354,Shuky,Jakobus,Senior Engineer,1993-06-16,1993-06-16
76189,Kolar,Hinsberger,Senior Engineer,1994-10-20,1994-10-20
77030,Faiza,Garnham,Technique Leader,1986-03-02,9999-01-01
77303,Xinglin,Birge,Senior Staff,2001-03-05,9999-01-01
78106,Ashish,Ratnaker,Senior Staff,1986-11-10,9999-01-01
78871,Conor,Ghandeharizadeh,Senior Engineer,1985-05-25,9999-01-01
79043,Katsuo,Hockney,Technique Leader,1999-11-07,9999-01-01
79310,Jeong,Cunliffe,Senior Staff,1996-10-27,9999-01-01
79606,Arnd,Peir,Senior Engineer,1986-12-11,9999-01-01
79763,Sanjoy,Barreiro,Senior Staff,1996-04-09,9999-01-01
79895,Fei,Murtagh,Senior Staff,1986-01-19,9999-01-01
80067,Kazuhisa,Weiland,Senior Staff,1991-11-09,9999-01-01
80731,Shaowen,Eldridge,Senior Staff,1994-12-05,9999-01-01
80889,Shigeo,Linnainmaa,Senior Engineer,1985-07-30,9999-01-01
81105,Jaewon,Boissier,Senior Engineer,1998-05-24,1998-05-24
81995,Sreekrishna,Brender,Senior Engineer,1996-03-21,1996-03-21
82919,Shigeu,Claffy,Engineer,1998-02-03,9999-01-01
83544,Leaf,Baak,Senior Staff,2001-09-05,9999-01-01
83805,Manohar,Harllee,Senior Engineer,1987-03-11,9999-01-01
84236,Eberhardt,Barriga,Senior Staff,1993-06-03,9999-01-01
84451,Shiv,Aumann,Senior Engineer,1998-06-14,9999-01-01
84922,Parke,Unno,Engineer,1996-07-01,9999-01-01
84942,Shin,Fujisaki,Technique Leader,1988-02-23,9999-01-01
85702,Udi,Merks,Engineer,1997-08-15,9999-01-01
85874,Pasqua,Taubman,Senior Staff,1986-06-23,9999-01-01
86213,Kristine,Clemencon,Senior Staff,1996-04-21,9999-01-01
86422,Jaewon,Thummel,Senior Staff,1992-09-14,9999-01-01
86546,Oldrich,Woycyznski,Senior Engineer,1990-05-15,1990-05-15
86672,JoAnne,Anido,Staff,1995-09-15,9999-01-01
87729,Yongmin,Roccetti,Senior Staff,1991-12-10,9999-01-01
87783,Conor,Thorensen,Senior Engineer,1988-02-24,9999-01-01
88411,Lena,Cannane,Engineer,2000-01-28,9999-01-01
88422,Jungsoon,Birsak,Technique Leader,1985-04-03,9999-01-01
89048,Otmar,Birjandi,Senior Engineer,1992-03-23,1992-03-23
89680,Aiman,Mawatari,Senior Engineer,1997-05-01,1997-05-01
89922,Alexius,Ibel,Senior Engineer,1993-04-24,1993-04-24
90077,Vivian,Guerreiro,Engineer,1998-07-08,1998-07-08
90518,Fumiko,Chepyzhov,Senior Staff,1997-01-27,9999-01-01
90614,Yonghoan,Trogemann,Engineer,1997-09-23,1997-09-23
90692,Rajmohan,DasSarma,Senior Staff,1990-09-14,9999-01-01
91172,Kazuhisa,Melter,Senior Staff,1993-07-15,9999-01-01
91182,Lucien,Schwartzburd,Senior Engineer,1994-08-25,1994-08-25
91229,Yahiko,Hebden,Senior Engineer,2001-10-03,2001-10-03
91415,Jamaludin,Nilsson,Senior Staff,1994-01-15,9999-01-01
91648,Dmitry,Msuda,Senior Staff,1997-10-22,9999-01-01
92438,Aria,Kilgore,Senior Engineer,1996-02-28,1996-02-28
92454,Visit,McFarlan,Senior Engineer,1996-10-21,1996-10-21
92846,Anyuan,Kropatsch,Senior Staff,1993-09-05,9999-01-01
92920,Huei,Hutter,Senior Engineer,2000-01-29,2000-01-29
93220,Richara,Walston,Senior Engineer,1996-08-27,9999-01-01
93278,Magdalena,Penn,Senior Engineer,2002-01-04,2002-01-04
93549,Arie,Coullard,Senior Staff,1998-04-15,9999-01-01
93600,Kristina,Neimat,Technique Leader,1988-04-18,9999-01-01
94761,Hitofumi,Zaccaria,Senior Engineer,1997-11-22,1997-11-22
94944,Heping,Matheson,Senior Engineer,1997-06-24,1997-06-24
95286,Kristin,Guerreiro,Senior Engineer,1997-08-23,1997-08-23
96767,Arumugam,Vecchio,Senior Engineer,1992-08-14,1992-08-14
98306,Ziya,Kadhim,Senior Engineer,1995-11-02,9999-01-01
99057,Shugo,Reeken,Staff,1999-06-21,9999-01-01
99373,Xiaobin,Christianini,Senior Staff,1991-12-25,9999-01-01
99654,Mahendra,Motley,Senior Staff,1992-09-28,9999-01-01
101902,Mantis,Millington,Senior Staff,1997-03-17,9999-01-01
103196,Djenana,Albarhamtoshy,Senior Staff,1993-07-16,9999-01-01
103316,Susanne,Peternell,Senior Engineer,1999-07-27,1999-07-27
105356,Diederik,Matzov,Senior Engineer,1996-05-12,1996-05-12
105520,Haldun,Lienhardt,Senior Staff,1987-01-29,9999-01-01
106242,Nevio,Thisen,Senior Staff,1994-03-25,9999-01-01
106695,Lijie,Garrabrants,Senior Staff,1990-10-02,9999-01-01
106710,Babette,Anandan,Senior Staff,1993-11-22,9999-01-01
107486,Siamak,Luiz,Senior Engineer,1987-02-11,9999-01-01
107737,Fabrizio,Chleq,Senior Engineer,1999-07-31,9999-01-01
107792,Shahab,Crooks,Senior Staff,2001-03-18,9999-01-01
108091,Hisao,Ghemri,Senior Staff,1990-11-14,9999-01-01
108198,Randi,Samarati,Senior Staff,1999-10-21,9999-01-01
109062,Jamaludin,Kandlur,Senior Engineer,1992-06-19,9999-01-01
109211,Gor,Delgrande,Senior Engineer,2001-11-06,2001-11-06
109278,Bangqing,Schach,Senior Staff,1996-03-22,9999-01-01
109598,Stamatina,Auyong,Senior Staff,1988-07-05,9999-01-01
109953,Godehard,Chorvat,Senior Staff,1996-04-10,9999-01-01
200312,Akemi,Fujisaki,Senior Engineer,1998-06-25,9999-01-01
200363,Kirk,Quaggetto,Senior Engineer,1995-06-30,1995-06-30
201229,Alejandra,Khasidashvili,Staff,1994-07-30,9999-01-01
201709,Fan,Kakkad,Senior Staff,1993-02-24,9999-01-01
201801,Waiman,Genin,Senior Engineer,1995-10-30,1995-10-30
202414,Zvonko,Murthy,Senior Staff,1992-01-07,9999-01-01
202826,Kerhong,Matzke,Senior Engineer,1993-11-14,1993-11-14
202950,Giordano,Pietrzykowski,Senior Staff,1987-03-26,9999-01-01
203495,Zongyan,Gips,Technique Leader,1997-05-31,9999-01-01
203599,Ewing,DiGiano,Technique Leader,2000-02-01,9999-01-01
203720,Sasan,Thimonier,Senior Staff,1996-08-21,9999-01-01
204246,Arve,Worfolk,Senior Staff,1990-04-01,9999-01-01
204425,Gretta,Huttel,Senior Engineer,1990-10-08,9999-01-01
204471,Franziska,Maginnis,Senior Engineer,1992-02-17,1992-02-17
205085,Moni,Kornyak,Technique Leader,1991-09-26,9999-01-01
205174,Leszek,Spinelli,Staff,1998-12-10,9999-01-01
206748,Yucai,Fabrizio,Staff,1999-10-06,9999-01-01
206836,Guadalupe,Pfau,Senior Staff,2001-03-22,9999-01-01
206966,Tzu,Sichman,Senior Engineer,1992-11-16,1992-11-16
207021,Jacqueline,Akaboshi,Engineer,1997-12-06,9999-01-01
207401,Shuji,Barbanera,Senior Staff,1993-08-09,9999-01-01
208147,Manu,Rothenberg,Senior Engineer,1995-12-07,1995-12-07
208330,Shen,Flanders,Senior Staff,1997-07-03,9999-01-01
208784,Pranjal,Juneja,Senior Engineer,1985-03-21,9999-01-01
209443,Krassimir,Garnier,Senior Staff,1998-01-26,9999-01-01
209712,Nimmagadda,Baak,Engineer,1995-10-30,1995-10-30
210752,Saniya,Stenning,Senior Staff,1991-12-10,9999-01-01
211858,Domenico,Ratnaker,Senior Engineer,1993-03-24,1993-03-24
212154,Sailaja,Holburn,Senior Staff,1997-03-03,9999-01-01
213384,Pranas,Narwekar,Senior Engineer,1993-09-26,1993-09-26
214215,Xiaoqiang,Cardazo,Senior Staff,1993-05-28,9999-01-01
214427,Peer,Molberg,Engineer,1996-11-17,9999-01-01
214789,Arfst,Chepyzhov,Senior Engineer,1997-02-06,1997-02-06
214866,Gopalakrishnan,Angel,Senior Engineer,2002-07-05,2002-07-05
214995,Dinkar,Hoppenstand,Engineer,1994-05-04,9999-01-01
215629,Munehiro,Manders,Senior Staff,1995-05-18,9999-01-01
215843,Pramod,Loncour,Senior Staff,1993-03-30,9999-01-01
216054,Sahrah,Angiulli,Senior Staff,1991-07-31,9999-01-01
216375,Byong,Gustavson,Senior Engineer,1985-03-12,9999-01-01
216502,Xiaocheng,Suermann,Engineer,1997-12-15,9999-01-01
217080,Masami,Puoti,Senior Engineer,2000-01-21,9999-01-01
217272,Yuchang,Eldridge,Senior Staff,1991-08-01,9999-01-01
217320,Abdelwaheb,Denis,Engineer,1993-09-10,9999-01-01
217363,Horward,Marzano,Staff,1996-04-11,9999-01-01
217387,Jianhao,Molenaar,Senior Engineer,1994-10-22,1994-10-22
217551,Panayotis,Lukaszewicz,Senior Engineer,1995-06-06,1995-06-06
217800,Shay,Servieres,Senior Staff,1998-08-06,9999-01-01
218022,Mokhtar,Poupard,Technique Leader,1992-02-02,9999-01-01
219035,Kristine,Bierman,Technique Leader,1988-05-13,9999-01-01
219047,Aemilian,Kusalik,Senior Engineer,1995-05-27,1995-05-27
219417,Subhrajyoti,Denna,Staff,1996-07-25,9999-01-01
220029,Demos,Asser,Senior Engineer,1985-11-04,9999-01-01
220582,Poornachandra,Zielinski,Senior Staff,2001-02-12,9999-01-01
220799,Perla,Orlowska,Senior Engineer,1990-12-03,9999-01-01
221126,Tesuya,dAstous,Senior Engineer,1995-11-30,1995-11-30
221369,Abdulah,Pocchiola,Engineer,1996-08-28,9999-01-01
221435,Djenana,Marrevee,Senior Engineer,2000-02-06,2000-02-06
222206,Stein,Uludag,Senior Staff,1995-01-30,9999-01-01
222311,Miyeon,Billingsley,Senior Engineer,1992-12-05,9999-01-01
222952,Gopalakrishnan,Suermann,Senior Engineer,1998-04-30,1998-04-30
222998,Leaf,Awdeh,Senior Staff,1991-02-20,9999-01-01
224335,Perry,Chachaty,Senior Engineer,1992-07-22,1992-07-22
224934,George,Miake,Senior Staff,1996-01-02,9999-01-01
225788,Ipke,Kieras,Engineer,1995-12-18,9999-01-01
226227,Herbert,Erva,Senior Engineer,1995-09-06,1995-09-06
227354,Gio,Murtha,Senior Engineer,1994-11-11,1994-11-11
227476,Macha,Schnabel,Senior Engineer,1996-05-11,1996-05-11
228248,Yuriy,Plump,Senior Staff,1995-09-09,9999-01-01
229098,Berry,Yurek,Senior Staff,1995-08-16,9999-01-01
229220,Fabrizio,Lichtman,Senior Engineer,1992-02-09,1992-02-09
229547,Moni,Schach,Senior Staff,1991-07-04,9999-01-01
229981,Jamaludin,Fordan,Senior Engineer,2001-02-05,2001-02-05
230126,Bezalel,Radivojevic,Senior Staff,1995-07-03,9999-01-01
230689,Dietrich,Crabtree,Senior Staff,1986-05-24,9999-01-01
230865,Takushi,Brattka,Staff,1999-03-09,9999-01-01
231671,Chandrasekaran,Pearson,Staff,1995-04-14,9999-01-01
231798,Goetz,Alvarado,Senior Engineer,1997-12-25,1997-12-25
232209,Nitsan,Rouquie,Senior Engineer,1995-08-02,1995-08-02
232697,Barry,Ramsak,Senior Engineer,1999-09-07,1999-09-07
233114,Alselm,Gargeya,Senior Engineer,1987-12-25,9999-01-01
233690,Cedric,Riefers,Engineer,1994-09-08,9999-01-01
233759,Zissis,Lodder,Engineer,1999-09-25,9999-01-01
233785,Baziley,Ballarin,Senior Staff,1995-07-28,9999-01-01
233818,Kellie,Heydon,Senior Engineer,1991-11-11,1991-11-11
234195,Luerbio,Terkki,Senior Staff,1998-05-14,9999-01-01
234739,Foong,Aamodt,Senior Engineer,1986-06-28,9999-01-01
235096,Sverrir,Gyimothy,Senior Staff,1992-03-20,9999-01-01
235368,Anneli,Joslin,Senior Engineer,1987-04-12,9999-01-01
236591,Insup,Reinhard,Senior Staff,1993-04-08,9999-01-01
236964,Adel,Foote,Staff,1998-08-19,9999-01-01
238252,Uno,Suppi,Staff,1996-12-27,9999-01-01
238422,Vishv,Angelov,Senior Staff,1996-03-08,9999-01-01
238949,Minghong,Cronin,Senior Staff,1987-10-04,9999-01-01
239067,Tadahiko,Pocchiola,Staff,1996-04-02,9999-01-01
239244,Abdulla,Kitai,Senior Staff,1996-02-20,9999-01-01
239748,Bilhanan,Dusink,Senior Staff,1996-06-04,9999-01-01
239803,Oscal,Ernst,Senior Staff,1997-05-19,9999-01-01
240236,True,Tischendorf,Senior Engineer,1992-01-19,1992-01-19
240285,Kolar,Greenaway,Staff,1998-11-14,9999-01-01
240340,Mack,Staylopatis,Senior Engineer,1991-04-02,1991-04-02
240870,Francesca,Chorvat,Senior Staff,1993-03-03,9999-01-01
241254,Jagoda,Anguita,Senior Engineer,1993-05-11,9999-01-01
241292,Uri,Lampe,Senior Staff,1994-10-17,9999-01-01
241567,Emran,Miara,Senior Engineer,1995-05-02,1995-05-02
241667,Atilio,Olivero,Senior Engineer,1992-09-04,1992-09-04
241728,Limsoon,Boudaillier,Senior Engineer,1995-08-12,9999-01-01
241872,Bluma,Fetvedt,Senior Staff,1997-02-02,9999-01-01
242104,Richara,Sudkamp,Senior Staff,1994-09-05,9999-01-01
243077,Kazunori,Perz,Senior Engineer,1999-02-25,9999-01-01
243576,Abdulah,Lodder,Senior Staff,2001-11-10,9999-01-01
243637,Marjo,Delgrange,Senior Staff,1996-06-23,9999-01-01
244605,Masoud,Suwa,Senior Staff,1997-11-25,9999-01-01
244624,Boaz,Seuren,Senior Staff,1994-03-27,9999-01-01
244820,Shigenori,Hertweck,Senior Engineer,1994-04-13,1994-04-13
244873,Arunachalam,Oppitz,Senior Staff,1994-05-20,9999-01-01
245664,Manohar,Kilgore,Staff,1998-11-17,9999-01-01
246146,Zhongwei,Melski,Senior Engineer,1993-09-03,1993-09-03
246764,Shuzo,Czaja,Staff,1997-11-29,9999-01-01
246902,Shih,Shanbhogue,Staff,1998-04-19,9999-01-01
247612,Chiranjit,Constantine,Engineer,1997-05-25,9999-01-01
247888,Abdelghani,Lagarias,Senior Engineer,1992-09-06,1992-09-06
248351,Jaana,Milicia,Senior Staff,1985-06-02,9999-01-01
249433,Ayonca,Matzov,Senior Engineer,1997-06-03,1997-06-03
249780,Nechama,Gaughan,Senior Engineer,1996-01-16,1991-01-16
250748,Kish,Turnbull,Senior Engineer,1994-02-10,1994-02-10
251166,Hinrich,Hooghiemstra,Senior Staff,1993-10-05,9999-01-01
251301,Pintsang,Impagliazzo,Senior Staff,1989-05-06,9999-01-01
251341,Divier,Kumaresan,Senior Staff,1998-12-05,9999-01-01
251680,Moty,Sommen,Senior Engineer,1990-08-14,9999-01-01
252185,Chaosheng,Conta,Engineer,2002-04-14,2002-04-14
253707,Insup,Hainaut,Staff,1998-02-11,9999-01-01
253838,Stafford,Terlouw,Assistant Engineer,1999-02-21,9999-01-01
255466,Huan,Roccetti,Senior Engineer,1985-07-03,9999-01-01
255657,Oldrich,Cyre,Senior Engineer,1994-02-10,1994-02-10
256856,Hongzue,Barbanera,Senior Staff,1995-06-17,9999-01-01
256881,Ioana,Jakobus,Senior Engineer,1999-08-10,1999-08-10
257378,Pascal,Bernatsky,Senior Staff,1995-09-04,9999-01-01
257469,Anyuan,Hanratty,Senior Staff,1996-01-06,9999-01-01
257484,Shaowei,Nicolson,Senior Staff,1995-12-07,9999-01-01
259237,Palash,Gammage,Senior Staff,1994-10-23,9999-01-01
259718,Stepehn,Bouloucos,Senior Staff,1997-09-16,9999-01-01
260249,Vugranam,Beausoleil,Staff,1998-05-14,9999-01-01
260408,Sasan,Brookner,Senior Staff,2001-09-03,9999-01-01
261184,Masako,Kornatzky,Senior Engineer,1987-08-29,9999-01-01
261737,Mark,Lindqvist,Senior Engineer,1997-11-22,1997-11-22
262208,Mrinalini,Holburn,Senior Staff,1987-04-20,9999-01-01
262210,Chinho,Bottner,Senior Engineer,1999-07-30,1992-07-29
262328,Mayuko,Vural,Staff,1997-12-24,9999-01-01
262439,Lorien,Lagarias,Senior Staff,1994-10-10,9999-01-01
262636,Tamiya,Reutenauer,Senior Engineer,1985-06-02,9999-01-01
263012,Hideo,Buchter,Staff,1999-05-01,9999-01-01
263439,Atreye,Kabayashi,Senior Engineer,1986-12-15,9999-01-01
263649,Mechthild,Zongker,Senior Staff,1993-07-26,9999-01-01
263926,Fusako,Schwartzbauer,Senior Staff,1993-04-07,9999-01-01
264030,Zdislav,Solares,Engineer,1998-12-14,1998-12-14
264939,Bogdan,Bahi,Senior Engineer,1992-02-10,1992-02-10
265521,Kensei,Salverda,Senior Engineer,2001-05-25,2001-05-25
265558,Susuma,Kleiser,Senior Staff,1994-08-02,9999-01-01
265794,Miquel,Halloran,Senior Staff,2002-01-14,9999-01-01
265875,Fan,Marsiglia,Senior Engineer,1997-09-03,1997-09-03
266206,Zsolt,Anily,Senior Staff,1991-08-19,9999-01-01
266310,Zvonko,Serdy,Senior Staff,1992-06-23,9999-01-01
266862,Mart,Plumb,Senior Staff,1986-04-21,9999-01-01
267667,Irena,Kaiserswerth,Senior Staff,1994-09-05,9999-01-01
268043,Narain,Mikschl,Engineer,1997-11-02,9999-01-01
268191,LiMin,Teitelbaum,Senior Engineer,1995-11-01,1995-11-01
269728,Naftali,Kragelund,Senior Staff,1993-05-15,9999-01-01
270084,Ulises,Frolund,Senior Staff,1993-07-26,9999-01-01
270716,Shunichi,Baer,Staff,1998-02-04,9999-01-01
272141,Tsutomu,Neiman,Senior Staff,1993-05-05,9999-01-01
272285,Gully,Mitchem,Senior Staff,1995-01-22,9999-01-01
273159,Divine,Hofmeyr,Technique Leader,1989-04-14,9999-01-01
