emp_no,first_name,last_name,to_date
12051,Youpyo,Suermann,9999-01-01
12062,Margareta,Worfolk,9999-01-01
12065,Moto,Roohalamini,9999-01-01
12079,Michaela,Suwa,9999-01-01
12089,Bilhanan,Socorro,9999-01-01
12112,Satyanarayana,Avouris,9999-01-01
12120,Eckart,Schrift,9999-01-01
12124,Jingling,Schaaf,9999-01-01
12127,Rosalie,Rijckaert,9999-01-01
12157,Georgi,Barinka,9999-01-01
12159,Shem,Perly,9999-01-01
12161,Tadahiko,Porenta,9999-01-01
12183,Harngdar,Iisaku,9999-01-01
12184,Chenxi,Zhang,9999-01-01
12205,Sushant,Rossi,9999-01-01
12207,Radoslaw,Menyhert,9999-01-01
12208,Bartek,Passino,9999-01-01
12211,Macha,Lores,9999-01-01
12221,Vincent,Melter,9999-01-01
12222,Abdelwaheb,Holburn,9999-01-01
12268,Nidapan,Kragelund,9999-01-01
12278,Mingzeng,Haumacher,9999-01-01
12279,Renee,Brookman,9999-01-01
12280,Lidong,Eiter,9999-01-01
12283,Slavian,Rosin,9999-01-01
12313,Tsutomu,Narahari,9999-01-01
12314,Remko,Kabayashi,9999-01-01
12315,Haldun,Binding,9999-01-01
12330,Oguz,Eugenio,9999-01-01
12347,Remko,Ranze,9999-01-01
12348,Krister,Rahimi,9999-01-01
12363,Gennady,Glowinski,9999-01-01
12374,Ult,Berstel,9999-01-01
12376,Kwangsub,Matzen,9999-01-01
12392,Uzi,Kragelund,9999-01-01
12410,Masanao,Besselaar,9999-01-01
12437,Mohammed,Cronan,9999-01-01
12469,Basant,Khalil,9999-01-01
12481,Ipke,Uludag,9999-01-01
12497,Stein,Penz,9999-01-01
12504,Adly,Rosaz,9999-01-01
12510,Rosli,Hellwagner,9999-01-01
12513,Niteen,Vesna,9999-01-01
12514,Tomofumi,Melter,9999-01-01
12528,Conor,Cincotta,9999-01-01
12533,Tamiya,Lowrie,9999-01-01
12560,Leszek,Makinen,9999-01-01
12570,Stafford,Anily,9999-01-01
12595,Yaghout,Morrey,9999-01-01
12604,Minghong,Conti,9999-01-01
12605,Petter,Feldmann,9999-01-01
12624,Zhongwei,Zykh,9999-01-01
12642,Suebskul,Gips,9999-01-01
12651,Pragnesh,Bael,9999-01-01
12664,Zhonghua,Parveen,9999-01-01
12698,Arunas,Paciorek,9999-01-01
12711,Yechiam,Jiafu,9999-01-01
12717,Tzu,Jiafu,9999-01-01
12739,Aral,Kading,9999-01-01
12764,Valeri,Menhoudj,9999-01-01
12780,Premal,Puppo,9999-01-01
12798,Lillian,Beeson,9999-01-01
12861,Premal,Stroustrup,9999-01-01
12879,Baruch,Eugenio,9999-01-01
12926,Heekeun,Luby,9999-01-01
12941,Tommaso,Perelgut,9999-01-01
12943,Kazuhide,Zucker,9999-01-01
12950,Aiman,Rissanen,9999-01-01
12952,Goa,Rosay,9999-01-01
12954,Dinkar,Walston,9999-01-01
12980,Jayson,Delgrange,9999-01-01
12995,Hisao,Rahier,9999-01-01
13010,Sachin,Bach,9999-01-01
13020,Shigeichiro,Suppi,9999-01-01
13030,Yahiko,Kroll,9999-01-01
13032,Mohit,Standera,9999-01-01
13037,Alagu,Schaad,9999-01-01
13047,Atilio,Chelton,9999-01-01
13070,Mohammad,Sridhar,9999-01-01
13075,Rosella,Morrin,9999-01-01
13116,Constantino,Sury,9999-01-01
13133,Guther,Senzako,9999-01-01
13144,Persi,Nollmann,9999-01-01
13152,Yuguang,Falck,9999-01-01
13156,Akeel,Millington,9999-01-01
13162,Shaw,Goodrum,9999-01-01
13165,Lucian,Benner,9999-01-01
13178,Kankanahalli,Itschner,9999-01-01
13192,Rosita,Flowers,9999-01-01
13193,Shimshon,Miyakawa,9999-01-01
13223,Koldo,Rabejac,9999-01-01
13233,Alselm,Chvatal,9999-01-01
13240,King,Pileggi,9999-01-01
13272,Arun,Jiang,9999-01-01
13274,Valery,Anguita,9999-01-01
13280,Gunilla,Cappelletti,9999-01-01
13281,Luerbio,Wursthorn,9999-01-01
13288,Muneo,Broomell,9999-01-01
13289,Berni,Baer,9999-01-01
13298,Sasan,Shokrollahi,9999-01-01
13315,Sakthirel,Stroustrup,9999-01-01
13327,Anyuan,Slutz,9999-01-01
13371,Nakhoon,Riexinger,9999-01-01
13373,Juichirou,Naumovich,9999-01-01
13385,Claudi,Buchter,9999-01-01
13392,Fumitake,Beidas,9999-01-01
13399,Ute,Gischer,9999-01-01
13403,Toney,Diderrich,9999-01-01
13407,Gio,Chenoweth,9999-01-01
13435,Moto,Businaro,9999-01-01
13443,Mayuko,Puppo,9999-01-01
13445,Renee,Dehkordi,9999-01-01
13459,Eric,Lupu,9999-01-01
13464,Chanjung,Jeansoulin,9999-01-01
13481,Marsal,Range,9999-01-01
13524,Chaoyi,Porotnikoff,9999-01-01
13552,Ingmar,Capobianchi,9999-01-01
13555,Lijia,Matteis,9999-01-01
13562,Mary,Cooley,9999-01-01
13563,Valter,Pashtan,9999-01-01
13565,Shuho,Badache,9999-01-01
13568,Muneo,Bodoff,9999-01-01
13576,Jungsoon,Engberts,9999-01-01
13587,Marco,Highland,9999-01-01
13603,Paddy,Rissanen,9999-01-01
13604,Tzu,Stille,9999-01-01
13614,Toshimo,Assaf,9999-01-01
13620,Elvis,Dolinsky,9999-01-01
13636,Petter,Merel,9999-01-01
13637,Zhigen,Cesareni,9999-01-01
13647,Munehiro,Sudbeck,9999-01-01
13653,Kristen,Iivonen,9999-01-01
13669,Hidde,Peng,9999-01-01
13677,Masasuke,Hiyoshi,9999-01-01
13692,Yongdong,Kisuki,9999-01-01
13695,Sakthirel,Tsukuda,9999-01-01
13711,Tesuro,Pusterhofer,9999-01-01
13715,Licheng,Range,9999-01-01
13732,Danae,Hutter,9999-01-01
13735,Feipei,McAlpine,9999-01-01
13737,Supot,Fairtlough,9999-01-01
13742,Radoslaw,Muniz,9999-01-01
13765,Raimond,Mitzlaff,9999-01-01
13784,Surveyors,Ranst,9999-01-01
13792,Valery,Sury,9999-01-01
13796,Paloma,Thorelli,9999-01-01
13806,Abdelwaheb,Nitsch,9999-01-01
13808,Becky,Stentiford,9999-01-01
13815,Guadalupe,Plotkin,9999-01-01
13817,Mingdong,Sullins,9999-01-01
13825,Arlette,Pell,9999-01-01
13827,Subbu,Castellani,9999-01-01
13858,Subir,Sanella,9999-01-01
13871,Anoosh,Plavsic,9999-01-01
13880,Bedrich,Mandell,9999-01-01
13887,Abdulla,Heydon,9999-01-01
13890,Marin,Antonisse,9999-01-01
13908,Nechama,Koprowski,9999-01-01
13920,Naftali,Rodham,9999-01-01
13926,Ekawit,Puppe,9999-01-01
13939,Reinhold,Cherinka,9999-01-01
13947,Gal,Nishimukai,9999-01-01
13955,Shem,Munck,9999-01-01
13963,Aimee,Brookner,9999-01-01
13966,Boguslaw,Cooman,9999-01-01
13970,Howell,Passafiume,9999-01-01
13985,Slavian,Guerreiro,9999-01-01
13992,Ulises,Kenevan,9999-01-01
14052,Mingdong,Shrader,9999-01-01
14057,Boriana,Beidas,9999-01-01
14070,Takanari,Peternell,9999-01-01
14078,Frederique,Chimia,9999-01-01
14081,Alain,Fontet,9999-01-01
14089,Cordelia,Anguita,9999-01-01
14103,Samphel,Uchoa,9999-01-01
14104,Sudhanshu,Demian,9999-01-01
14120,Horward,Rabejac,9999-01-01
14121,Arup,Barreiro,9999-01-01
14151,Mariangiola,Esposito,9999-01-01
14181,Persi,Gecsel,9999-01-01
14185,Garnik,Swiler,9999-01-01
14191,Jiann,Luby,9999-01-01
14232,Masali,Bojadziev,9999-01-01
14236,Xuedong,Angiulli,9999-01-01
14237,Abdulla,Gerlach,9999-01-01
14249,Kiyokazu,Schwaller,9999-01-01
14260,Arlette,Aloia,9999-01-01
14264,Marco,Dulin,9999-01-01
14271,Rosita,Bernatsky,9999-01-01
14291,Berhard,Rodier,9999-01-01
14299,Manu,Kitsuregawa,9999-01-01
14310,Marlo,Leuchs,9999-01-01
14314,Baziley,Fujisaki,9999-01-01
14323,Golgen,Leslie,9999-01-01
14338,Behnaam,Pelz,9999-01-01
14343,Pranav,Rotem,9999-01-01
14351,Randy,Zultner,9999-01-01
14356,Remko,Zeidenstein,9999-01-01
14367,Dung,Muhlberg,9999-01-01
14384,Tomofumi,Holburn,9999-01-01
14415,Yuriy,Brookman,9999-01-01
14429,Marek,Koblick,9999-01-01
14437,Radoslaw,Claffy,9999-01-01
14447,Prodip,Denos,9999-01-01
14460,Yagil,Lueh,9999-01-01
14462,Marl,Pietrzykowski,9999-01-01
14469,Dannz,Rusmann,9999-01-01
14474,Taiji,Ferretti,9999-01-01
14483,Supot,Marrevee,9999-01-01
14488,Zijian,Luks,9999-01-01
14495,Tokuyasu,Denna,9999-01-01
14501,Taizo,Kroft,9999-01-01
14503,Bernd,Beerel,9999-01-01
14508,Shahid,Babu,9999-01-01
14512,Oldrich,Lupu,9999-01-01
14525,Eben,Neiman,9999-01-01
14553,Uri,Selvestrel,9999-01-01
14580,Hilari,Roison,9999-01-01
14621,Souichi,Wixon,9999-01-01
14639,Arvind,Hempstead,9999-01-01
14645,Laurentiu,Glinert,9999-01-01
14650,Yuqun,Georg,9999-01-01
14669,Faiza,Hettesheimer,9999-01-01
14677,Herbert,Sifakis,9999-01-01
14719,Willard,Luga,9999-01-01
14720,Shushma,Trystram,9999-01-01
14721,Jordanka,Vanwelkenhuysen,9999-01-01
14726,Uri,Weedman,9999-01-01
14739,Ute,Piancastelli,9999-01-01
14783,Gennadi,Fasbender,9999-01-01
14788,Eishiro,Vigier,9999-01-01
14808,Pragnesh,Billingsley,9999-01-01
14810,Sreekrishna,Gips,9999-01-01
14829,Bojan,Wilharm,9999-01-01
14839,Changho,Cronin,9999-01-01
14844,Mats,Rabejac,9999-01-01
14850,Shigehiro,Tchuente,9999-01-01
14878,Lorien,Arlazarov,9999-01-01
14891,Lalit,Smeets,9999-01-01
14897,Alair,Grabner,9999-01-01
14906,Adil,Parveen,9999-01-01
14907,Nakhoon,Luga,9999-01-01
14908,Kerhong,Flanders,9999-01-01
14911,Xiaobin,Chelton,9999-01-01
14914,Gretta,Benzaken,9999-01-01
14915,Huican,Picco,9999-01-01
14927,Jungsoon,Birsak,9999-01-01
14929,Mads,Hanratty,9999-01-01
14938,King,Mitina,9999-01-01
14941,Nathan,Lichtner,9999-01-01
14962,Vidya,Papastamatiou,9999-01-01
14969,Hongzue,Himler,9999-01-01
14971,Fan,Simmen,9999-01-01
14984,Sangeeta,Parhami,9999-01-01
14985,Almudena,Syang,9999-01-01
14989,Shalesh,Marzano,9999-01-01
14996,Jianhao,Schahn,9999-01-01
14998,Subir,Brandsma,9999-01-01
15005,Kiam,Sadowsky,9999-01-01
15006,Miquel,Cools,9999-01-01
15016,Woody,Gulik,9999-01-01
15017,Xiaobin,Thorelli,9999-01-01
15019,Qingxiang,Shokrollahi,9999-01-01
15030,Rasikan,Nourani,9999-01-01
15034,Pranas,Hoogerwoord,9999-01-01
15039,Krister,Huttel,9999-01-01
15045,Marco,Luby,9999-01-01
15049,Khun,Waymire,9999-01-01
15055,Shrikanth,Sherertz,9999-01-01
15061,Kwangyoen,Hofmeyr,9999-01-01
15090,Collette,Copas,9999-01-01
15092,Remmert,Bahi,9999-01-01
15098,Shaleah,Hutter,9999-01-01
15104,Badri,Rodite,9999-01-01
15114,Pantung,Honglei,9999-01-01
15115,Yucel,Stroustrup,9999-01-01
15130,Mohua,Puppo,9999-01-01
15146,Guther,Janocha,9999-01-01
15147,Kwangyoen,Pesch,9999-01-01
15151,Urs,Pouyioutas,9999-01-01
15176,Charlene,Sankaranarayanan,9999-01-01
15196,Souichi,Duclos,9999-01-01
15202,Pranay,Irland,9999-01-01
15208,Sudharsan,Shokrollahi,9999-01-01
15211,Abdelaziz,Waterhouse,9999-01-01
15224,Premsyl,Michaeli,9999-01-01
15234,Jouko,Zhiwei,9999-01-01
15236,Haldun,Perng,9999-01-01
15238,Arunas,Vandervoorde,9999-01-01
15267,Zita,Streng,9999-01-01
15269,Eric,Reghbati,9999-01-01
15285,Yurii,Veeraraghavan,9999-01-01
15307,Rafael,Schrift,9999-01-01
15329,Fan,Openshaw,9999-01-01
15349,Gift,Gulik,9999-01-01
15363,Frederique,Wroclawski,9999-01-01
15364,Sakthirel,Quittner,9999-01-01
15369,Premal,Penttonen,9999-01-01
15377,Shugo,Aumann,9999-01-01
15378,Shounak,Hiraishi,9999-01-01
15382,Alassane,Siegrist,9999-01-01
15417,Mabo,Zhiwei,9999-01-01
15430,Aamod,Egerstedt,9999-01-01
15432,Adib,Simmen,9999-01-01
15452,Kazuhira,Weedman,9999-01-01
15464,Slavian,Glinert,9999-01-01
15467,Tristan,Perng,9999-01-01
15470,Weiwu,Huhdanpaa,9999-01-01
15474,Gilbert,Plumb,9999-01-01
15479,Zhenbing,Soicher,9999-01-01
15495,Sven,Rotem,9999-01-01
15503,Stamatina,Tagansky,9999-01-01
15505,Collette,Mikschl,9999-01-01
15507,Mikhail,Luff,9999-01-01
15510,Inderjeet,Sethi,9999-01-01
15511,George,Kowalchuk,9999-01-01
15514,Lene,Babu,9999-01-01
15534,Guozhong,Grabner,9999-01-01
15544,Wilmer,Molenkamp,9999-01-01
15584,Srinidhi,Staylopatis,9999-01-01
15592,Mohit,Conde,9999-01-01
15599,Filipe,Piancastelli,9999-01-01
15624,Marit,Codenie,9999-01-01
15652,Tokuyasu,Sundgren,9999-01-01
15676,Ziya,Rijckaert,9999-01-01
15706,Gad,Koshiba,9999-01-01
15716,Flemming,Pargas,9999-01-01
15735,Shir,Ravishankar,9999-01-01
15738,Heng,Schlumberger,9999-01-01
15739,Poorav,Bahr,9999-01-01
15751,Sorina,Matzke,9999-01-01
15755,Oksana,Esposito,9999-01-01
15759,Arie,Knightly,9999-01-01
15773,Clyde,Kropp,9999-01-01
15781,Rafail,Gomatam,9999-01-01
15788,Taegyun,Deyuan,9999-01-01
15800,Kazunori,Strandh,9999-01-01
15806,Torsten,Kaiser,9999-01-01
15810,Tesuro,Tiemann,9999-01-01
15819,Magdalena,Rajcani,9999-01-01
15831,Arno,Bridgland,9999-01-01
15833,Magy,Pettit,9999-01-01
15834,Changho,Simkin,9999-01-01
15838,Zissis,Montresor,9999-01-01
15848,Jiakeng,Gulik,9999-01-01
15852,Nathalie,Bonifati,9999-01-01
15865,Demin,Otillio,9999-01-01
15869,Guoxiang,Bala,9999-01-01
15896,Baruch,Trachtenberg,9999-01-01
15911,Shaibal,Viele,9999-01-01
15913,Shigeaki,Mattern,9999-01-01
15915,Freyja,Rahimi,9999-01-01
15917,Jaroslava,Einsfeld,9999-01-01
15921,Ziyad,Manderick,9999-01-01
15937,Steen,Snyers,9999-01-01
15942,Murthy,Rosca,9999-01-01
15947,Amstein,Bierman,9999-01-01
15955,Yuguang,Dratva,9999-01-01
15957,Steve,Pashtan,9999-01-01
15968,Moss,Montemayor,9999-01-01
15971,Arumugam,Aloia,9999-01-01
15992,Niranjan,Baek,9999-01-01
16003,Pranay,Isard,9999-01-01
16010,Parke,Olano,9999-01-01
16027,Ramalingam,Vadhan,9999-01-01
16028,JiYoung,Takkinen,9999-01-01
16029,Zhilian,Schicker,9999-01-01
16035,Martial,Jullig,9999-01-01
16066,Marsha,Penn,9999-01-01
16068,Leandro,Zongker,9999-01-01
16079,Leen,Shrader,9999-01-01
16094,Berto,Rosar,9999-01-01
16098,Stella,Fortenbacher,9999-01-01
16189,Luigi,Sigstam,9999-01-01
16211,Kiyotoshi,Swick,9999-01-01
16227,Hitomi,Vural,9999-01-01
16233,Sushant,Baba,9999-01-01
16246,Makato,Masaki,9999-01-01
16290,Candida,Clemencon,9999-01-01
16292,Bluma,Lakshmanan,9999-01-01
16321,Parviz,Schlenzig,9999-01-01
16326,Suvo,Beerel,9999-01-01
16349,Muneo,dAstous,9999-01-01
16364,Yifei,Gini,9999-01-01
16376,Mamdouh,Smailagic,9999-01-01
16377,Duri,Stanger,9999-01-01
16382,Chaoyi,Talmon,9999-01-01
16408,Somnath,Sinicrope,9999-01-01
16414,Tristan,Brookner,9999-01-01
16447,Zhiguo,Savasere,9999-01-01
16451,Domenick,Maierhofer,9999-01-01
16461,Remmert,Schahn,9999-01-01
16471,Bogdan,Birta,9999-01-01
16487,Arunas,Yemenis,9999-01-01
16491,Emdad,Radwan,9999-01-01
16493,Rafols,Cooley,9999-01-01
16494,Bedir,Swen,9999-01-01
16497,Tzu,Lorin,9999-01-01
16513,Toney,Auria,9999-01-01
16514,Przemyslawa,Luiz,9999-01-01
16524,Ashish,Navazio,9999-01-01
16532,Foong,Jansen,9999-01-01
16534,Kwok,Prochazka,9999-01-01
16539,Gretta,Fetvedt,9999-01-01
16561,Zorica,Swan,9999-01-01
16562,Ayakannu,Lueh,9999-01-01
16580,Masaru,Valiente,9999-01-01
16589,Shaibal,Koblick,9999-01-01
16609,Boriana,Ventosa,9999-01-01
16620,Arco,Basagni,9999-01-01
16633,Baoqiu,Erie,9999-01-01
16642,Zhaofang,Hiroyama,9999-01-01
16647,Zhiwei,Gadepally,9999-01-01
16708,Tommaso,Zaumen,9999-01-01
16723,Mohd,Randt,9999-01-01
16737,Nevin,Fairtlough,9999-01-01
16740,Greger,Oehlmann,9999-01-01
16755,Ult,Hartvigsen,9999-01-01
16761,Ziva,Vrecion,9999-01-01
16767,Kerryn,Kalorkoti,9999-01-01
16798,Oguz,Lichtner,9999-01-01
16818,Marko,Rebaine,9999-01-01
16822,Shen,Spell,9999-01-01
16849,Kinh,Uhrik,9999-01-01
16867,Felicidad,Garigliano,9999-01-01
16888,Barun,Renear,9999-01-01
16890,Nathan,Terkki,9999-01-01
16912,Billur,Schonegge,9999-01-01
16925,Brigham,Schwabacher,9999-01-01
16954,Akhilish,Apsitis,9999-01-01
16955,Sangeeta,Marrakchi,9999-01-01
16958,Vasiliy,Spelt,9999-01-01
16963,Monique,Lalonde,9999-01-01
16968,Patricio,Stifter,9999-01-01
16972,Kotesh,Baezner,9999-01-01
16977,Eishiro,Isaac,9999-01-01
16991,Oksana,Birke,9999-01-01
16993,Hongzue,Dahlbom,9999-01-01
17000,Atilio,Kugler,9999-01-01
17009,Carrsten,Jansen,9999-01-01
17012,Valdiodio,Petereit,9999-01-01
17023,Chuanyi,Ligten,9999-01-01
17026,Sham,Hockney,9999-01-01
17028,Kiyomitsu,Toyoshima,9999-01-01
17035,Eldridge,Eiter,9999-01-01
17048,Christoph,Murthy,9999-01-01
17066,Heping,Ruther,9999-01-01
17069,Ramalingam,Stentiford,9999-01-01
17075,Nikolaos,Speel,9999-01-01
17076,Gudjon,Hitomi,9999-01-01
17101,Sandeepan,Compeau,9999-01-01
17108,Jaques,Denny,9999-01-01
17138,Alselm,Gurbaxani,9999-01-01
17139,Stein,Cesareni,9999-01-01
17158,Danai,Vecchio,9999-01-01
17159,Quingbo,Mitchem,9999-01-01
17160,Shay,Montemayor,9999-01-01
17164,Pranjal,Birta,9999-01-01
17177,Garnet,Highland,9999-01-01
17180,Salvador,Boguraev,9999-01-01
17193,Kenroku,Tetzlaff,9999-01-01
17215,Junichi,Langford,9999-01-01
17245,Neven,Milicia,9999-01-01
17271,Udaiprakash,Oxman,9999-01-01
17280,Xuejia,Merle,9999-01-01
17288,Conrado,Lubachevsky,9999-01-01
17326,Arumugam,Ramsay,9999-01-01
17345,Duangkaew,Strandh,9999-01-01
17353,Shigeo,Shobatake,9999-01-01
17355,Mingzeng,Weisert,9999-01-01
17377,Kien,Ambroszkiewicz,9999-01-01
17389,Taiji,Kemmerer,9999-01-01
17394,Danae,Marzano,9999-01-01
17398,Vishwani,Rosenbaum,9999-01-01
17399,Zita,Serre,9999-01-01
17408,Lijie,Lowrie,9999-01-01
